name,affiliation,email_domain,interests,citedby,scholar_id
Hamn-Ching Chen,"Professor of Civil Engineering and Ocean Engineering, Texas A&M University",@civil.tamu.edu,"['Computational Fluid Dynamics', 'Ocean Engineering', 'Fluid-Structure Interactions', 'Hydraulic engineering']",7953,ZCehB2oAAAAJ
Pengzhi Lin,Professor of Sichuan University,@scu.edu.cn,"['Hydraulics', 'computational fluid dynamics', 'coastal engineering', 'ocean engineering']",7573,3wRV9PEAAAAJ
Jimy Dudhia,National Center for Atmospheric Research,@ucar.edu,"['Meteorology', 'Numerical Modeling', 'Atmospheric Physics']",64052,foX01BAAAAAJ
Jiri Simunek,"Professor of Hydrology, University of California Riverside",@ucr.edu,"['Soil Physics', 'Vadose Zone Hydrology', 'Numerical Modeling']",43607,ONLhP1gAAAAJ
PA Cundall,retired,@itascacg.com,"['rock mechanics', 'numerical modeling', 'discrete element', 'distinct element']",42994,4NZsMCwAAAAJ
Andrea Tramacere,"Scientist,  CIDCI, Astronomy Department, Geneva University",@unige.ch,"['high energy astrophysics', 'radiation and acceleration mechanism', 'blazars', 'data analysis', 'numerical modeling']",42824,mn_s3x0AAAAJ
Christoph Schaer,"Professor, ETH Zurich",@env.ethz.ch,"['Climate change', 'climate dynamics', 'numerical modeling']",40787,KmYuAeUAAAAJ
Song-You Hong,NOAA,@noaa.gov,"['atmospheric sciences', 'meteorology', 'numerical modeling', 'atmospheric physics', 'regional climate']",24880,SBu53wwAAAAJ
georg grell,"Meteorologist, NOAA/ESRL, Boulder, Colorado",@noaa.gov,"['Numerical Modeling', 'Meteorology', 'Air quality']",24708,3gHTyHwAAAAJ
Feng CHEN (陈锋),"Senior Engineer of Meteorological Science, Zhejiang Institute of Meteorological Sciences",@mail.iap.ac.cn,"['Regional Climte', 'Numerical Modeling']",21412,erUMzeEAAAAJ
Andreas Oschlies,"Professor Marine Biogeochemical Modelling, GEOMAR, University of Kiel",@geomar.de,"['oceanography', 'climate change', 'marine biogeochemistry', 'numerical modeling']",19376,979NYGIAAAAJ
Dimitri Komatitsch,"CNRS Research Director, Laboratory of Mechanics and Acoustics, Marseille, France",@lma.cnrs-mrs.fr,"['Numerical modeling', 'wave propagation', 'forward and inverse problems', 'high performance computing']",15973,CWlevJQAAAAJ
Satoshi Tanaka,"Professor, College of Information Science and Engineering, Ritsumeikan University",@is.ritsumei.ac.jp,"['Visualization', 'Digital Humanities', 'Monte Carlo Simulation']",70058,kHAuG30AAAAJ
Curtis Rueden,University of Wisconsin-Madison,@wisc.edu,"['Software Architecture', 'Image Processing', 'Visualization', 'Computational Biology']",55416,VqKfxYcAAAAJ
Patrick Hanrahan,Stanford University,@cs.stanford.edu,"['computer graphics', 'visualization', 'parallel computing']",51209,RzEnQmgAAAAJ
Martin Wattenberg,Harvard University / Google Research,@seas.harvard.edu,"['Visualization', 'HCI']",47256,pv54dqMAAAAJ
